Uniprot_ID,Sample1,Sample2
H7C6C1,16452.17773,21996.96484
H7C6C3,4311.159668,4125.41748
H7C6C4,5345.436523,5261.209961
H7C6C7,3452.736572,3630.545898
H7C6D0,4584.493164,4283.358398
H7C6D1,1169.167725,1210.786011
H7C7J6,6952.777344,7234.350098
H7C7J7,4339.996094,4123.812012
H7C7J8,283.4629211,259.9117432
H7C7K2,9843.329102,10126.43457
H7C7K3,2269.094238,2611.667969
O24748,1155.435791,1250.154785
O31139,1670.724731,1741.952759
O52377,1000.066467,940.4074097
O68602,3579.242676,3742.77832
O68640,825.0656128,918.9581299
O69043,1712.050415,2042.565186
O69282,20369.98438,20137.54102
O85175,1147.033081,1109.847534
O85176,15006.96387,15159.00879
O87330,1075.038452,1075.12085
O87331,2821.311523,2841.780273
O88101,3575.589111,3588.296631
P04964,9545.325195,9011.449219
P06557,4479.938477,4571.631836
P06558,2232.457275,2428.39624
P06559,6067.864746,6068.975098
P06560,11048.77539,11304.47559
P06561,4180.21582,4326.929688
P06562,7706.170898,7918.870117
P07128,2476.185059,2342.410156
P08499,27565.97266,28429.20898
P09890,1666.656372,1596.984253
P0C1D8,11038.68262,10591.58008
P0C1E0,13684.36914,13685.92383
P0C1E2,2039.999146,2047.958374
P0C1E4,3931.088623,4240.647949
P0C1E6,1068.355469,1005.882935
P0C1E8,2700.003174,2512.669189
P0C543,893.4146729,781.9039917
P0C544,8954.452148,8570.894531
P0DJB1,228.9751129,185.0203247
P10341,2155.2229,2035.971558
P12880,14539.39648,14890.84766
P19537,26947.20898,28527.52148
P19583,20144.92969,19723.07031
P19808,4549.223145,4539.546387
P23669,9936.256836,10112.20703
P26512,10493.58105,10975.85254
P31026,14193.05273,14723.77734
P35170,3314.95874,3387.563477
P35868,6059.29541,6036.495605
P38118,376.0198059,386.7852173
P38376,1795.672119,2249.368652
P40110,2194.100342,2044.737793
P40111,1170.372559,1148.194336
P42439,22051.18359,21158.06055
P42442,1166.334595,1268.878418
P42449,2175.302002,2237.616699
P42450,1098.026245,1133.169922
P42455,77770.35938,78504.25
P42457,27858.08398,28676.70508
P42458,2508.843994,2831.752686
P42461,4617.322266,5183.021484
P42463,9494.364258,9397.120117
P42464,22463.94336,22021.44727
P42531,251.2371368,268.1605835
P46396,92.99604034,75.0957489
P48242,8110.82959,8398.661133
P48243,2198.031494,2056.221436
P48244,1826.851196,1943.693604
P48245,1371.476318,1293.71814
P49973,6899.562012,7237.472656
P50216,29938.24805,29263.21094
P53532,3669.335449,3523.321533
P54122,4846.937988,4953.606934
P58893,3800.056396,3783.86792
P58897,3026.254395,3078.699463
P58939,9276.765625,9294.727539
P58946,7913.710449,7706.664063
P58998,3532.570313,3581.208496
P59004,6303.920898,6200.100098
P59011,3026.821289,2983.785889
P61173,37619.51172,44513
P66326,51430.30078,50713.62109
P66455,25171.40234,24610.05273
P66482,10170.67871,10085.19238
P71121,6619.496094,6551.80127
P77844,4102.328125,3904.986572
P77845,4976.715332,4922.357422
P82134,6011.610352,6070.077148
P94335,2273.867676,2298.143799
P94336,546.975769,534.3323975
P94337,11285.87695,11960.69434
P94338,751.0823975,747.62677
P94631,3312.314209,3381.635254
P94632,154.7400513,159.9673615
Q01651,41708.04688,43508.39063
Q01655,8640.954102,8898.100586
Q04513,2619.812012,2499.248291
Q45288,9269.677734,9547.571289
Q45291,962.8696899,947.7332153
Q46065,187.1767578,244.8167267
Q46072,13402.71973,13180.06934
Q46078,39345.14453,40477.35547
Q57179,11324.44531,11103.16113
Q59200,852.0530396,811.2057495
Q59279,3450.230713,3600.450684
Q59280,3653.268555,3839.556885
Q59281,1662.342285,1619.652832
Q59282,5902.087891,5736.979492
Q59283,2807.729004,2982.3479
Q59284,1418.633911,1432.125854
Q6M1C1,398.881073,599.4997559
Q6M259,8561.853516,9860.013672
Q6M2E8,396.5796204,389.5265808
Q6M2F0,2696.068848,2761.95874
Q6M4B7,1662.616943,1532.471558
Q6M6E7,16212.2168,16470.86914
Q6M6N7,252.4635773,172.390976
Q6M8X7,259.6042175,289.0246277
Q79VC4,208.7944489,189.4832611
Q79VD1,94.86441803,135.7743988
Q79VD6,2742.603516,2744.183594
Q79VD7,15822.30566,15474.67578
Q79VD9,3658.651367,3793.233643
Q79VE0,878.7905884,772.3181152
Q79VE1,1152.040161,1249.767822
Q79VE2,861.3748779,899.2833252
Q79VE3,26363.00586,26251.42773
Q79VE5,5933.692871,5660.733398
Q79VE6,4214.174805,4669.33252
Q79VE8,18588.875,17276.94922
Q79VE9,23090.78906,22255.68945
Q79VF2,712.5511475,743.7182617
Q79VF3,5478.664551,5884.207031
Q79VF5,1017.183716,998.5297852
Q79VF6,2987.049561,3669.334961
Q79VF7,485.9571533,479.6028442
Q79VG1,11539.58496,11577.55371
Q79VG4,10259.31836,10449.11426
Q79VG6,8608.451172,8941.4375
Q79VG7,23334.00586,23509.18945
Q79VG9,8489.674805,11023.51953
Q79VH1,241.8564148,218.5014038
Q79VH2,2474.582764,2391.602295
Q79VH8,919.8197632,936.2926636
Q79VI1,1240.63562,1187.012939
Q79VI2,27063.24414,27133.4668
Q79VI4,7624.410645,7530.571777
Q79VI7,17387.58008,17336.25586
Q79VJ0,193.3545532,197.248764
Q79VJ1,505.3164368,529.569458
Q79VJ3,621.1218872,584.8171997
Q79VJ4,871.4865112,968.343689
Q7DIC8,13427.64258,13929.92285
Q8NKY1,197.7876892,201.5576935
Q8NL51,509.2244568,459.2156372
Q8NL52,142.979599,169.9642181
Q8NL53,3375.616699,3330.951172
Q8NL54,1904.814697,1849.005493
Q8NL55,8155.492676,8752.235352
Q8NL56,331.8671875,318.837738
Q8NL57,1765.781006,1787.104614
Q8NL58,7887.632324,7133.208984
Q8NL59,2052.304443,2048.856689
Q8NL61,226.0634308,211.0834503
Q8NL62,119.6891479,182.418808
Q8NL63,417.7066956,451.4832153
Q8NL64,573.8348999,545.9116211
Q8NL65,607.1326904,608.4048462
Q8NL68,119.7523193,151.8103485
Q8NL70,5162.608887,5087.477051
Q8NL72,696.506897,934.3284912
Q8NL73,869.4586182,895.5847778
Q8NL74,773.0117188,724.5015259
Q8NL79,376.8291016,329.1891174
Q8NL80,1023.88916,1053.488037
Q8NL82,465.5514832,450.6333923
Q8NL86,127.2740021,151.8935699
Q8NL87,226.0166473,229.5895844
Q8NL89,115.4134521,71.8704834
Q8NL91,203.3969879,184.3162231
Q8NL92,158.7683258,133.9769287
Q8NL93,552.9367065,527.206543
Q8NL95,319.9706421,401.9296265
Q8NL96,140.168808,194.8132782
Q8NL97,330.8457336,393.7806702
Q8NLA2,867.1181641,888.2967529
Q8NLA4,728.8984375,698.5892944
Q8NLA7,484.0818176,470.895752
Q8NLA8,2101.377197,1759.166382
Q8NLA9,123.5173645,99.69415283
Q8NLB0,242.5023193,252.4817963
Q8NLB1,1919.811523,2004.642212
Q8NLB2,1558.101685,1708.062988
Q8NLB4,803.0187378,829.0639648
Q8NLB5,321.8002625,347.0579224
Q8NLC0,743.690918,746.9946899
Q8NLC1,460.9887695,468.0142517
Q8NLC4,4026.537598,4214.191406
Q8NLD0,1530.84082,1528.825195
Q8NLD1,1116.074097,1029.725586
Q8NLD4,1054.307251,1075.775879
Q8NLD5,1103.271606,1201.643066
Q8NLD8,692.2086182,718.6311646
Q8NLD9,1535.601196,1459.406372
Q8NLE1,173.0526276,151.3707733
Q8NLE2,567.7689819,581.9923096
Q8NLE3,3424.854736,4062.06665
Q8NLE4,914.4753418,933.5411987
Q8NLE6,33434.32813,32415.47266
Q8NLE7,429.1123657,399.5629272
Q8NLE8,191.8555145,201.1972961
Q8NLE9,215.2827148,192.4203186
Q8NLF0,1800.339844,1846.97876
Q8NLF1,8397.066406,7591.820313
Q8NLF2,344.0813904,328.5524292
Q8NLF3,227.5468292,206.0511627
Q8NLF4,6837.996094,7328.603516
Q8NLF6,732.5413208,696.3479614
Q8NLF7,355.3521118,370.3045959
Q8NLF9,16811.42578,16494.36719
Q8NLG0,3511.772949,3564.813232
Q8NLG1,11129.12305,10215.41016
Q8NLG2,1541.511719,1662.980347
Q8NLG3,214.9117737,235.42659
Q8NLG4,515.713501,470.5994873
Q8NLG5,1413.885742,1744.190308
Q8NLG6,2878.823486,2903.96167
Q8NLG8,123.0353241,148.0575104
Q8NLH1,1267.531616,1256.394653
Q8NLH5,107.3159943,96.15752411
Q8NLI0,702.4710693,674.0093384
Q8NLI1,206.9205322,238.705307
Q8NLI2,558.5725708,588.8568115
Q8NLJ3,8642.745117,9391.352539
Q8NLJ4,2306.587646,2361.800293
Q8NLJ7,448.0623779,433.6298523
Q8NLJ8,1914.067383,1949.975098
Q8NLJ9,8228.963867,8369.37207
Q8NLK1,4081.563477,3853.032959
Q8NLK2,341.0446472,318.3138428
Q8NLK3,426.6973572,424.8343201
Q8NLK6,205.1073761,208.7234192
Q8NLK7,2089.103516,1999.112915
Q8NLK8,731.7377319,751.5499268
Q8NLL0,5386.522949,5867.048828
Q8NLL1,177.9059296,170.3738708
Q8NLL2,227.9542999,199.0845337
Q8NLL4,170.8754578,200.3848877
Q8NLL5,3068.062744,2956.991943
Q8NLM3,4687.18457,4799.217285
Q8NLM4,693.9763184,784.2199097
Q8NLM5,182.6113434,171.6501617
Q8NLM6,1689.987671,1664.679199
Q8NLM7,3803.894287,3693.1604
Q8NLM8,498.6512146,503.3952332
Q8NLM9,138.3898926,94.59503937
Q8NLN0,22353.98438,22139.56641
Q8NLN1,2318.375,2383.733398
Q8NLN3,1139.572266,1050.864502
Q8NLN4,3855.737549,3842.303711
Q8NLN6,2881.95459,2914.562744
Q8NLN8,470.6517334,500.0440979
Q8NLP0,122.3769379,222.8070374
Q8NLP1,900.0941772,858.0960083
Q8NLP3,58.94776154,66.18523407
Q8NLP4,304.6961365,319.5749512
Q8NLP5,1272.704346,1280.624634
Q8NLP6,3362.934082,3284.164795
Q8NLP7,2707.060547,2800.889404
Q8NLP8,517.4887695,500.1139526
Q8NLP9,2696.631836,2651.602295
Q8NLQ0,1048.347412,1143.984253
Q8NLQ1,2733.189209,2870.658447
Q8NLQ2,1331.670532,1287.944946
Q8NLQ6,2670.266602,2528.006348
Q8NLQ7,2968.202881,2906.967773
Q8NLQ8,1069.12146,1009.740967
Q8NLQ9,324.5487061,354.7206421
Q8NLR0,221.3281708,207.7478027
Q8NLR1,5605.538086,5186.748535
Q8NLR4,615.4949951,584.7324219
Q8NLR5,1108.381958,1019.52063
Q8NLR6,11097.15332,10819.49316
Q8NLR7,2172.098877,2131.39917
Q8NLR8,1433.953735,1573.702393
Q8NLS0,382.0252686,302.6065979
Q8NLS1,1003.162842,970.0748901
Q8NLS2,441.3635254,480.5747986
Q8NLS3,1784.175903,1890.45459
Q8NLS6,700.0213623,703.2437134
Q8NLS7,198.7626038,208.1327972
Q8NLS8,197.3244629,195.1873322
